domain	url	http_code	domain_whois_created	domain_whois_changed	domain_whois_expires	domain_internet_archive_created	domain_moz_domain_authority	domain_moz_mozrank	links	external_equity_links	document_html_length	document_text_length	document_text_to_html_ratio	document_html_meta_title_length	document_html_meta_description_length	document_html_meta_keyword_length	document_links_count	document_links_attr_follow_count	document_links_attr_nofollow_count	document_website_links_attr_follow_count	document_website_links_attr_nofollow_count	document_link_distribution_range_1	document_link_distribution_range_2	document_link_distribution_range_3	document_link_distribution_range_4	document_link_distribution_range_5	document_website_link_distribution_range_1	document_website_link_distribution_range_2	document_website_link_distribution_range_3	document_website_link_distribution_range_4	document_website_link_distribution_range_5	document_external_link_distribution_range_1	document_external_link_distribution_range_2	document_external_link_distribution_range_3	document_external_link_distribution_range_4	document_external_link_distribution_range_5	document_performance_total_time	document_performance_speed_download	document_security_google_safe_browsing
184.168.143.37	http://184.168.143.37/alexa/Alexa_3.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	423574	104175	24.5943	74	58	44	5196	5196	0	0	0	996	1046	1036	1034	1084	NULL	NULL	NULL	NULL	NULL	995	1046	1036	1034	889	1.8687	226666	0
184.168.143.37	http://184.168.143.37/alexa/Alexa_37.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	443820	116797	26.3163	75	59	44	5196	5196	0	1	0	998	1035	1043	1031	1089	NULL	NULL	1	NULL	NULL	997	1035	1043	1031	894	1.8663	237806	0
184.168.143.37	http://184.168.143.37/alexa/alexa_5.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	425484	105127	24.7076	77	61	44	5196	5196	0	1	0	996	1042	1036	1038	1084	1	NULL	NULL	NULL	NULL	995	1042	1036	1038	889	1.8499	230009	0
184.168.143.37	http://184.168.143.37/alexa/Alexa_7.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	426230	105501	24.7521	76	60	44	5196	5196	0	0	0	994	1038	1040	1040	1084	NULL	NULL	NULL	NULL	NULL	993	1038	1040	1040	889	1.8945	224979	0
184.168.143.37	http://184.168.143.37/alexa/Alexa_8.html	200	NULL	NULL	NULL	2013-04-17 08:57:07.0000	9.8686	0.0000	0.0000	0.0000	427196	105984	24.8092	76	60	44	5196	5196	0	1	0	996	1042	1040	1036	1082	1	NULL	NULL	NULL	NULL	995	1042	1040	1036	887	1.9046	224296	0
1topix.com	http://1topix.com/pozycjonowanie-i-optymalizacja-seo-forum-pio/	200	NULL	NULL	NULL	2007-06-20 23:51:04.0000	NULL	NULL	NULL	NULL	25732	1784	6.9330	52	122	0	27	21	6	2	0	3	6	4	5	9	NULL	2	NULL	NULL	NULL	NULL	2	1	NULL	NULL	1.4252	18055	0
2012.revenuetrends.pl	http://2012.revenuetrends.pl/	200	NULL	NULL	NULL	2013-01-20 17:04:55.0000	24.1660	5.0555	350.0000	337.0000	27468	5673	20.6531	19	0	0	109	109	0	1	0	40	17	31	11	10	NULL	NULL	1	NULL	NULL	33	6	31	11	1	0.2569	106933	0
2012.socialenterprise.pl	http://2012.socialenterprise.pl/	200	NULL	NULL	NULL	2013-09-09 02:20:26.0000	23.1613	5.0554	348.0000	332.0000	30046	6943	23.1079	22	0	0	113	113	0	1	0	43	27	24	8	11	NULL	NULL	1	NULL	NULL	33	14	24	8	2	0.2567	117026	0
2014.best-marketing-cases.pl	http://2014.best-marketing-cases.pl/	401	NULL	NULL	NULL	NULL	25.4003	5.2861	327.0000	297.0000	495	344	69.4949	26	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.1203	4114	0
2014.generationmobile.pl	http://2014.generationmobile.pl/	200	NULL	NULL	NULL	2014-03-12 01:37:04.0000	32.4508	5.5320	533.0000	471.0000	28643	4507	15.7351	25	0	0	109	109	0	1	0	36	19	31	12	11	NULL	NULL	1	NULL	NULL	29	9	15	12	2	0.2635	108704	0
2014.gitmarketing.pl	http://2014.gitmarketing.pl/	200	NULL	NULL	NULL	2014-06-26 09:17:57.0000	21.9197	5.0611	366.0000	348.0000	24035	5036	20.9528	19	0	0	84	84	0	1	0	31	14	30	5	4	NULL	NULL	1	NULL	NULL	25	9	18	6	1	0.2443	98384	0
2014.mobiletrends.pl	http://2014.mobiletrends.pl/	200	NULL	NULL	NULL	2013-09-20 03:04:25.0000	40.5888	5.1485	654.0000	43.0000	21568	2147	9.9546	36	0	0	108	108	0	1	0	13	25	22	34	14	NULL	NULL	NULL	1	NULL	3	NULL	17	34	10	0.3109	69366	0
2014jesien.ecommercetrends.pl	http://2014jesien.ecommercetrends.pl/	200	NULL	NULL	NULL	2014-07-23 13:29:14.0000	36.6404	5.3173	407.0000	310.0000	32498	5929	18.2442	25	0	0	124	124	0	1	0	46	23	33	11	11	NULL	NULL	1	NULL	NULL	34	7	31	11	2	0.3405	95450	0
2014update.aduniverse.pl	http://2014update.aduniverse.pl/	200	NULL	NULL	NULL	2014-06-11 06:09:51.0000	28.6391	5.1428	391.0000	358.0000	29987	6751	22.5131	22	0	0	107	107	0	1	0	43	20	32	NULL	11	NULL	NULL	1	NULL	NULL	34	5	32	NULL	2	0.2656	112885	0
20ojrodziennie.blogspot.com	http://20ojrodziennie.blogspot.com/2010/10/10-miejsc-ktore-musisz-znac-by-zarabiac.html	200	NULL	NULL	NULL	2011-04-19 22:19:05.0000	NULL	NULL	NULL	NULL	91327	9388	10.2795	72	0	55	179	166	13	1	0	2	26	42	82	8	NULL	1	NULL	NULL	NULL	NULL	18	28	10	5	0.3485	262022	0
25107.pl-testasquora.eu	http://25107.pl-testasquora.eu/	200	NULL	NULL	NULL	NULL	1.0000	0.0000	0.0000	0.0000	12446	5546	44.5605	66	0	0	29	29	0	2	0	8	4	2	2	13	NULL	NULL	NULL	2	NULL	7	2	1	2	9	0.2374	52417	0
2dboy.com	http://2dboy.com/2010/11/21/world-of-goo-on-ipad-releasing-soon/	200	NULL	NULL	NULL	2007-02-28 11:22:20.0000	60.1391	6.3605	15774.0000	6871.0000	48570	19298	39.7323	86	0	0	189	155	34	0	1	24	36	27	28	73	NULL	1	NULL	NULL	NULL	7	13	5	5	2	1.6552	29344	0
325.pl	http://325.pl/	200	NULL	NULL	NULL	2010-07-07 07:37:58.0000	NULL	NULL	NULL	NULL	4476	1924	42.9848	24	0	0	20	19	1	1	0	1	1	6	9	3	NULL	NULL	NULL	NULL	1	NULL	NULL	1	NULL	3	0.0823	54367	0
325.pl	http://325.pl/terminy.php	200	NULL	NULL	NULL	2010-07-07 07:37:58.0000	NULL	NULL	NULL	NULL	4677	2081	44.4943	36	0	0	20	19	1	1	0	1	1	5	10	3	NULL	NULL	NULL	NULL	1	NULL	NULL	1	NULL	3	0.2190	21359	0
4poryroku-lubin.pl.tl	http://4poryroku-lubin.pl.tl/	200	NULL	NULL	NULL	NULL	54.6654	0.0000	0.0000	0.0000	16584	679	4.0943	33	65	170	19	18	1	1	0	NULL	NULL	15	1	2	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	1	2	0.1161	142903	0
4poryroku-lubin.pl.tl	http://4poryroku-lubin.pl.tl/Strona-Startowa.htm	200	NULL	NULL	NULL	NULL	54.6654	0.0000	0.0000	0.0000	16603	679	4.0896	33	65	170	19	18	1	1	0	1	NULL	14	1	2	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	1	2	0.2499	66442	0
4run.pl	http://4run.pl/partnerzy	200	NULL	NULL	NULL	2007-02-24 14:06:52.0000	34.4375	5.0025	1614.0000	726.0000	15715	697	4.4353	9	0	0	63	62	1	1	0	1	10	19	14	18	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	8	7	0.4197	37440	0
5stars-kaliningrad.ru	http://5stars-kaliningrad.ru/aviatury-iz-polshi/	200	NULL	NULL	NULL	2013-05-22 16:18:08.0000	19.9215	5.1096	346.0000	21.0000	38652	5275	13.6474	120	0	0	107	107	0	1	0	21	27	28	24	7	NULL	1	NULL	NULL	NULL	1	13	NULL	NULL	4	0.5377	71881	0
74.200.86.241	http://74.200.86.241/	200	NULL	NULL	NULL	2013-04-15 09:44:13.0000	NULL	NULL	NULL	NULL	14216	6543	46.0256	68	199	207	16	16	0	1	0	5	11	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	5	2	NULL	NULL	NULL	0.3511	40484	0
74.200.86.241	http://74.200.86.241/link-popularity.php	200	NULL	NULL	NULL	2013-04-15 09:44:13.0000	NULL	NULL	NULL	NULL	7141	727	10.1806	53	141	84	18	18	0	2	0	5	NULL	11	NULL	2	2	NULL	NULL	NULL	NULL	5	NULL	2	NULL	2	0.4783	14929	0
90festival.pl	http://90festival.pl/	200	NULL	NULL	NULL	2015-01-03 07:11:18.0000	23.0634	4.6133	279.0000	266.0000	63198	3384	5.3546	58	72	0	83	80	3	0	0	15	7	21	23	17	NULL	NULL	NULL	NULL	NULL	3	6	NULL	NULL	3	0.7907	79925	0
abwebnagpur.in	http://abwebnagpur.in/alexa-top-1-million-sites-2/	200	NULL	NULL	NULL	2012-07-15 05:02:42.0000	22.1875	5.9018	983.0000	931.0000	631152	199139	31.5517	45	153	2688	10038	10036	2	1	0	1832	2123	2129	2101	1853	NULL	1	NULL	NULL	NULL	1810	2123	2129	2101	1837	5.2351	120560	0
abwebnagpur.in	http://abwebnagpur.in/alexa-top-1-million-sites-2/	200	NULL	NULL	NULL	2012-07-15 05:02:42.0000	22.1875	5.9018	983.0000	931.0000	627133	199139	31.7539	45	153	2688	10038	10036	2	1	0	1848	2110	2115	2089	1876	NULL	NULL	NULL	NULL	1	1826	2110	2115	2089	1860	3.9951	156974	0
abwebnagpur.in	http://abwebnagpur.in/alexa-top-1-million-sites-2/	200	NULL	NULL	NULL	2012-07-15 05:02:42.0000	22.1875	5.9018	983.0000	931.0000	631630	199139	31.5278	45	153	2688	10038	10036	2	1	0	1825	2125	2131	2102	1855	NULL	NULL	NULL	1	NULL	1803	2125	2131	2102	1839	3.7393	168918	0
adi.pl	http://adi.pl/przyjaciele/	200	NULL	NULL	NULL	2001-02-05 17:31:00.0000	32.5514	4.9518	879.0000	418.0000	399391	87147	21.8200	67	187	141	2799	2799	0	0	0	511	564	580	575	569	NULL	NULL	NULL	NULL	NULL	468	564	580	575	569	6.3522	62874	0
adresy.com	http://adresy.com/nowa,itaka,sp,z,oo,-,salon,firmowy,warszawa,grazyny,1,rog,pulawskiej,B18RAAdfEQA.html	200	NULL	NULL	NULL	2001-04-04 02:04:01.0000	15.1420	3.6446	7.0000	6.0000	5306	869	16.3777	99	0	0	16	16	0	1	0	NULL	4	8	NULL	2	NULL	NULL	NULL	NULL	1	NULL	1	NULL	NULL	1	0.2608	20341	0
afrikat.com	http://afrikat.com/partners/	200	NULL	NULL	NULL	2008-10-04 15:33:27.0000	15.2309	3.1843	91.0000	16.0000	30394	511	1.6813	46	0	0	54	53	1	1	0	1	7	20	22	4	NULL	NULL	NULL	1	NULL	NULL	2	8	19	NULL	4.0440	7515	0
afrikatcatamarangranca.apps-1and1.net	http://afrikatcatamarangranca.apps-1and1.net/nl/partners-2/	200	NULL	NULL	NULL	NULL	44.0910	0.0000	0.0000	0.0000	27390	466	1.7014	46	0	0	46	45	1	1	0	1	NULL	17	15	13	NULL	NULL	NULL	NULL	1	NULL	NULL	2	14	13	2.8152	9729	0
agatour.ehost.pl	http://agatour.ehost.pl/wycieczki_zagraniczne.html	200	NULL	NULL	NULL	2009-09-02 04:56:11.0000	60.3957	0.0000	0.0000	0.0000	15857	332	2.0937	86	0	0	24	24	0	0	0	2	7	14	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	0.1706	92965	0
agregator-blogow-reklama-i-promocja.blogspot.com	http://agregator-blogow-reklama-i-promocja.blogspot.com/	200	NULL	NULL	NULL	NULL	92.4711	4.1879	31.0000	23.0000	88336	9620	10.8902	36	0	0	112	108	4	2	0	NULL	23	39	37	11	NULL	2	NULL	NULL	NULL	NULL	23	35	36	7	1.1226	78686	0
agroturystykakarkonosze.pl	http://agroturystykakarkonosze.pl/	200	NULL	NULL	NULL	2012-10-02 15:10:21.0000	19.3021	4.9502	27.0000	22.0000	7092	1624	22.8990	51	0	0	11	11	0	0	0	1	NULL	10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.1689	41990	0
airport.lodz.pl	http://airport.lodz.pl/en/summer-2015.html	200	NULL	NULL	NULL	1998-12-07 03:27:16.0000	67.3902	3.5225	2253.0000	54.0000	29610	2741	9.2570	61	107	158	172	172	0	8	0	27	39	27	28	50	NULL	8	NULL	NULL	NULL	NULL	14	22	17	4	0.3948	74993	0
airport.lodz.pl	http://airport.lodz.pl/en/summer-2015.html	200	NULL	NULL	NULL	1998-12-07 03:27:16.0000	67.3902	3.5225	2253.0000	54.0000	29609	2740	9.2539	61	107	158	172	172	0	0	0	27	39	27	28	50	NULL	NULL	NULL	NULL	NULL	NULL	14	22	17	4	0.3978	74423	0
airport.lodz.pl	http://airport.lodz.pl/mobile/en/index.html	200	NULL	NULL	NULL	1998-12-07 03:27:16.0000	67.3902	3.5225	2253.0000	54.0000	48466	8712	17.9755	47	107	158	119	119	0	8	0	12	6	42	35	23	NULL	8	NULL	NULL	NULL	NULL	6	34	20	11	0.1484	326537	0
airport.lodz.pl	http://airport.lodz.pl/mobile/en/index.html	200	NULL	NULL	NULL	1998-12-07 03:27:16.0000	67.3902	3.5225	2253.0000	54.0000	48167	8615	17.8857	47	107	158	119	119	0	0	0	12	7	41	35	23	NULL	NULL	NULL	NULL	NULL	NULL	7	33	20	11	0.1470	327731	0
airport.wroclaw.pl	http://airport.wroclaw.pl/en/2011/11/24/its-time-to-think-about-holidays/	200	NULL	NULL	NULL	1998-12-05 22:06:18.0000	54.2857	6.0063	11497.0000	7912.0000	39036	2825	7.2369	63	205	89	127	123	4	1	0	7	45	27	28	19	NULL	NULL	1	NULL	NULL	NULL	NULL	2	NULL	NULL	0.7038	55462	0
airport.wroclaw.pl	http://airport.wroclaw.pl/pasazer/czartery/dokad-latamy/egipt/	200	NULL	NULL	NULL	1998-12-05 22:06:18.0000	54.2857	6.0063	11497.0000	7912.0000	269350	4126	1.5318	32	175	89	166	140	26	1	4	82	1	5	10	60	NULL	5	NULL	NULL	NULL	NULL	1	5	10	10	1.2123	222189	0
akson.sgh.waw.pl	http://akson.sgh.waw.pl/~ubik/lycos/tppmsgs/msgs1.htm	200	NULL	NULL	NULL	1996-12-19 01:55:21.0000	65.9339	3.9186	93.0000	37.0000	41109	17122	41.6502	21	0	0	200	200	0	1	0	20	20	20	20	20	NULL	1	NULL	NULL	NULL	20	20	20	20	20	0.3081	133443	0
akson.sgh.waw.pl	http://akson.sgh.waw.pl/samorzad/forum/viewtopic.php?t=31321	200	NULL	NULL	NULL	1996-12-19 01:55:21.0000	65.9339	3.9186	93.0000	37.0000	23887	4945	20.7016	74	0	0	36	36	0	2	0	2	3	2	2	4	NULL	NULL	2	NULL	NULL	NULL	NULL	2	NULL	4	1.0345	23089	0
akson.sgh.waw.pl	http://akson.sgh.waw.pl/samorzad/forum/viewtopic.php?t=32250	200	NULL	NULL	NULL	1996-12-19 01:55:21.0000	65.9339	3.9186	93.0000	37.0000	23461	4230	18.0299	76	0	0	36	36	0	1	0	2	3	2	2	4	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	4	1.2016	19525	0
alarmowka2.blogspot.com	http://alarmowka2.blogspot.com/	200	NULL	NULL	NULL	2004-09-05 13:09:08.0000	NULL	NULL	NULL	NULL	19571	1692	8.6454	17	137	452	23	21	2	1	0	NULL	NULL	NULL	2	19	NULL	NULL	NULL	NULL	1	NULL	NULL	2	NULL	12	0.2507	78052	0
albahotels.com.tr	http://albahotels.com.tr/Home/Alba_Resort_Hotel	200	NULL	NULL	NULL	2008-07-01 13:23:11.0000	30.4971	2.7413	2.0000	2.0000	69259	2118	3.0581	60	0	0	117	117	0	0	0	5	13	23	39	33	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	35	16	1.1442	60529	0
alergolog-trojmiasto.pl	http://alergolog-trojmiasto.pl/nasze-odzywianie	200	NULL	NULL	NULL	2011-06-23 16:31:50.0000	10.8880	4.7113	48.0000	1.0000	14286	2731	19.1166	30	0	0	17	14	3	1	0	5	1	1	6	4	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	NULL	1.1305	12636	0
alergolog-trojmiasto.pl	http://alergolog-trojmiasto.pl/specjalista-pomoze-rozwiazac-problem	200	NULL	NULL	NULL	2011-06-23 16:31:50.0000	10.8880	4.7113	48.0000	1.0000	14375	2786	19.3809	61	0	0	17	14	3	1	0	5	1	1	5	5	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	NULL	0.8660	16598	0
alergologia.rzeszow.pl	http://alergologia.rzeszow.pl/jakiego-rodzaju-dzialalnoscia-zajmuje-sie-optyk	200	NULL	NULL	NULL	2008-10-03 08:13:06.0000	14.5015	5.0776	372.0000	311.0000	12589	3012	23.9256	29	0	0	34	31	3	1	0	3	1	3	10	17	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	NULL	1.6092	7823	0
alexba.eu	http://alexba.eu/2008-02-29/rozwoj-kariera-praca/historia-pewnej-rekomendacji-jak-wykorzystywac-kontakty/	200	NULL	NULL	NULL	2007-05-21 05:49:23.0000	36.3294	5.2920	1717.0000	1256.0000	234232	123103	52.5560	75	0	0	535	314	221	0	1	58	65	50	63	297	NULL	1	NULL	NULL	NULL	9	18	15	10	10	2.3080	101486	0
alfacentrum.pl	http://alfacentrum.pl/title,wakacje_pl,pid,18,mid,1,event,shopdetails,sid,81,bid,9.html	200	NULL	NULL	NULL	2006-05-25 18:59:43.0000	26.0813	5.4336	273.0000	182.0000	16863	1222	7.2466	28	0	0	25	25	0	1	0	2	8	2	3	9	NULL	NULL	1	NULL	NULL	NULL	NULL	1	1	NULL	0.4875	34593	0
alfacentrum.pl	http://alfacentrum.pl/title,wakacjepl,pid,20,mid,1,event,shopdetails,sid,81.html	200	NULL	NULL	NULL	2006-05-25 18:59:43.0000	26.0813	5.4336	273.0000	182.0000	22597	1821	8.0586	22	0	0	23	23	0	1	0	7	3	NULL	1	11	NULL	1	NULL	NULL	NULL	NULL	1	NULL	1	NULL	0.5183	43597	0
all8.pl	http://all8.pl/sport,i,turystyka/noclegi,ada,s,5499/	200	NULL	NULL	NULL	2012-01-28 19:47:57.0000	38.4566	5.7671	13894.0000	11742.0000	29386	9628	32.7639	72	300	41	67	57	10	1	0	11	18	8	9	10	NULL	1	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	0.6152	47763	0
altbay.pl	http://altbay.pl/internet,i,komputery/gry,przez,przegladarke,s,378/	200	NULL	NULL	NULL	2012-08-10 00:37:42.0000	22.1510	4.9106	1527.0000	25.0000	30747	8966	29.1606	94	304	138	89	79	10	2	0	24	19	12	12	11	NULL	2	NULL	NULL	NULL	NULL	4	NULL	NULL	1	3.5029	8777	0
amazonki.net	http://amazonki.net/dyskusje/feed.php?278,55183,type=rss	200	NULL	NULL	NULL	2005-12-30 01:55:14.0000	41.0467	5.0265	1455.0000	321.0000	4120	1572	38.1553	0	0	0	7	7	0	1	0	NULL	NULL	2	1	1	NULL	NULL	NULL	1	NULL	NULL	NULL	2	1	1	0.1994	20661	0
amazonki.net	http://amazonki.net/dyskusje/read.php?278,55183	200	NULL	NULL	NULL	2005-12-30 01:55:14.0000	41.0467	5.0265	1455.0000	321.0000	75434	6571	8.7109	40	311	0	315	102	213	1	0	29	32	58	67	80	NULL	1	NULL	NULL	NULL	1	5	NULL	NULL	2	0.3197	235970	0
aneta-fr.blogspot.com	http://aneta-fr.blogspot.com/	200	NULL	NULL	NULL	NULL	92.4711	0.0000	0.0000	0.0000	74386	27400	36.8349	51	0	0	39	39	0	1	0	2	16	7	4	6	NULL	1	NULL	NULL	NULL	NULL	13	5	2	5	0.3368	220864	0
animacjaigrafika.pl	http://animacjaigrafika.pl/krytyka/o-pozycjonowaniu-slow-kilka/	200	NULL	NULL	NULL	2011-09-25 00:02:51.0000	NULL	NULL	NULL	NULL	43685	7857	17.9856	51	155	143	145	118	27	1	0	18	17	28	43	38	NULL	1	NULL	NULL	NULL	NULL	8	3	4	NULL	0.3972	109982	0
ankietyinfo.blogspot.co.uk	http://ankietyinfo.blogspot.co.uk/2014/09/moja-opinia-o-surveycomparepl.html	200	NULL	NULL	NULL	2014-05-17 10:45:35.0000	NULL	NULL	NULL	NULL	113831	7100	6.2373	54	216	0	187	167	20	1	0	2	19	80	57	17	NULL	NULL	NULL	NULL	1	NULL	12	25	13	15	0.2678	425132	0
ankietyinfo.blogspot.com	http://ankietyinfo.blogspot.com/	200	NULL	NULL	NULL	2013-05-05 01:42:59.0000	92.4711	3.3528	31.0000	11.0000	142721	16040	11.2387	22	92	0	281	224	57	1	0	3	61	70	112	22	NULL	NULL	NULL	NULL	1	1	40	38	25	20	0.2978	479207	0
ankietyinfo.blogspot.com	http://ankietyinfo.blogspot.com/2012/08/kilka-sow-o-mobrog.html	200	NULL	NULL	NULL	2013-05-05 01:42:59.0000	92.4711	3.3528	31.0000	11.0000	167947	13764	8.1954	45	0	0	282	228	54	1	0	15	25	54	124	28	NULL	NULL	NULL	NULL	1	9	18	NULL	20	26	0.2497	672708	0
ankietyinfo.blogspot.de	http://ankietyinfo.blogspot.de/2014/12/toluna-wyzwanie.html	200	NULL	NULL	NULL	2014-05-16 19:26:55.0000	NULL	NULL	NULL	NULL	120284	9479	7.8805	41	0	0	185	169	16	1	0	2	14	66	69	20	NULL	NULL	NULL	NULL	1	NULL	9	27	10	18	0.5246	229277	0
anofinblogs.blogspot.com	http://anofinblogs.blogspot.com/2011/01/criminal-court-120-55-queens-blvd.html	200	NULL	NULL	NULL	2013-07-03 11:44:44.0000	NULL	NULL	NULL	NULL	61068	5235	8.5724	35	0	0	95	94	1	3	0	1	NULL	16	65	4	NULL	NULL	3	NULL	NULL	NULL	NULL	12	NULL	3	0.3199	190883	0
antyweb.pl	http://antyweb.pl/gdy-google-stwierdzi-ze-twoja-strona-jest-niebezpieczna-to-wiedz-ze-masz-duzy-problem/	200	NULL	NULL	NULL	2006-04-21 12:12:02.0000	57.6204	6.5323	15689.0000	7760.0000	303352	26299	8.6695	102	0	0	476	342	134	0	1	131	90	90	90	74	NULL	1	NULL	NULL	NULL	29	23	31	23	9	0.5776	525232	0
antyweb.pl	http://antyweb.pl/platforma-handlowa-mybaze-com-wchodzi-do-polski/	200	NULL	NULL	NULL	2006-04-21 12:12:02.0000	57.6204	6.5323	15689.0000	7760.0000	75913	13139	17.3080	57	0	0	139	129	10	1	1	17	57	53	6	5	NULL	NULL	NULL	2	NULL	5	18	2	2	NULL	1.2144	62508	0
antyweb.pl	http://antyweb.pl/polskie-startupy-sa-coraz-lepsze-sprawdzcie/	200	NULL	NULL	NULL	2006-04-21 12:12:02.0000	57.6204	6.5323	15689.0000	7760.0000	87093	18523	21.2681	56	0	0	149	138	11	1	0	27	69	39	6	7	NULL	NULL	1	NULL	NULL	5	19	12	4	2	1.1221	77617	0
aparatki123.p2a.pl	http://aparatki123.p2a.pl/viewtopic.php?id=288	200	NULL	NULL	NULL	2007-11-01 08:16:47.0000	45.3530	0.0000	0.0000	0.0000	81104	21579	26.6066	133	0	0	117	117	0	2	0	35	16	21	17	26	NULL	NULL	NULL	1	1	7	NULL	5	1	6	0.2580	314321	0
apetycznewnetrze.blogspot.com	http://apetycznewnetrze.blogspot.com/2014/04/wieszak-funkcjonalna-ozdoba-sciany.html	200	NULL	NULL	NULL	2012-07-17 23:38:28.0000	92.4711	4.3212	815.0000	548.0000	238424	8154	3.4200	109	0	0	467	463	4	2	0	NULL	NULL	63	241	153	NULL	NULL	2	NULL	NULL	NULL	NULL	26	9	6	0.4387	543468	0
archiwum2.amazonki.net	http://archiwum2.amazonki.net/index.php?showtopic=3297	200	NULL	NULL	NULL	2010-08-11 01:08:27.0000	41.0467	4.6047	336.0000	0.0000	59853	4119	6.8819	33	0	0	121	121	0	1	0	7	6	11	10	7	NULL	1	NULL	NULL	NULL	4	1	NULL	NULL	4	0.4888	122441	0
artelis.pl	http://artelis.pl/artykuly/7420/Zarabianie-w-Internecie	200	NULL	NULL	NULL	2006-09-03 02:11:38.0000	49.3623	5.8462	12038.0000	2171.0000	62484	11473	18.3615	79	0	0	193	187	6	3	0	82	17	26	23	11	NULL	3	NULL	NULL	NULL	NULL	8	5	1	NULL	1.3232	47220	0
artjaw.republika.pl	http://artjaw.republika.pl/linki.htm	200	NULL	NULL	NULL	2001-05-03 21:34:18.0000	66.0728	0.0000	0.0000	0.0000	34222	7209	21.0654	5	0	0	470	470	0	1	0	68	99	99	99	96	NULL	NULL	NULL	NULL	1	59	98	97	96	94	0.2462	138973	0
arturandrus.bloog.pl	http://arturandrus.bloog.pl/id,334190293,title,Orzel-moze,index.html	200	NULL	NULL	NULL	2006-10-13 08:23:34.0000	63.4510	5.5049	2411.0000	990.0000	67203	11546	17.1808	55	444	42	201	190	11	0	0	15	3	23	55	105	NULL	NULL	NULL	NULL	NULL	11	1	13	7	10	0.6525	102991	0
asystentzdrowia.pl	http://asystentzdrowia.pl/gdzie-sie-leczyc/wybor-lekarza/	200	NULL	NULL	NULL	NULL	3.5910	0.0000	0.0000	0.0000	15364	1643	10.6938	32	79	89	36	36	0	1	0	3	12	14	4	3	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	3	0.9590	16020	0
atrium-felicity.pl	http://atrium-felicity.pl/en/shops/itaka	200	NULL	NULL	NULL	2012-10-09 23:15:07.0000	27.1809	3.4321	15.0000	11.0000	45885	1275	2.7787	39	0	0	103	99	4	1	0	7	25	24	20	26	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	15	1.4846	30908	0
atrium-targowek.pl	http://atrium-targowek.pl/pl/sklepy/itaka	200	NULL	NULL	NULL	2011-09-25 03:29:20.0000	23.8258	5.1558	35.0000	30.0000	47848	1505	3.1454	41	0	0	108	104	4	1	0	4	27	28	18	30	NULL	NULL	1	NULL	NULL	NULL	NULL	2	NULL	16	1.3753	34792	0
aurumolea.com	http://aurumolea.com/konkurs/	200	NULL	NULL	NULL	2013-10-05 21:13:56.0000	12.2404	2.5079	10.0000	1.0000	35105	4441	12.6506	43	89	0	131	129	2	1	0	9	17	35	36	34	NULL	NULL	1	NULL	NULL	NULL	NULL	2	NULL	NULL	0.8775	40003	0
autopodroze.pl	http://autopodroze.pl/bez-kategorii/slonce-w-zimie/	200	NULL	NULL	NULL	2010-01-31 15:01:58.0000	22.5546	4.1361	419.0000	387.0000	37321	9783	26.2131	35	365	95	67	48	19	1	0	1	30	10	20	5	NULL	NULL	1	NULL	NULL	NULL	3	4	6	1	2.3681	15759	0
avangarda-magazine.blogspot.com	http://avangarda-magazine.blogspot.com/2014/06/luzne-trendy-w-modzie.html	200	NULL	NULL	NULL	2012-12-20 08:03:06.0000	92.4711	3.8567	187.0000	169.0000	290189	20517	7.0702	130	329	0	373	339	34	4	0	2	25	122	132	59	NULL	NULL	2	2	NULL	1	6	87	28	37	0.6757	429464	0
avensis.info	http://avensis.info/viewtopic.php?t=7117	200	NULL	NULL	NULL	2007-05-14 21:17:35.0000	36.3399	4.1654	438.0000	191.0000	107773	19964	18.5241	51	82	121	194	194	0	1	0	14	16	13	18	21	NULL	NULL	NULL	1	NULL	NULL	2	NULL	2	8	0.4859	221812	0
