domain	url	http_code	domain_whois_created	domain_whois_changed	domain_whois_expires	domain_internet_archive_created	domain_moz_domain_authority	domain_moz_mozrank	links	external_equity_links	document_html_length	document_text_length	document_text_to_html_ratio	document_html_meta_title_length	document_html_meta_description_length	document_html_meta_keyword_length	document_links_count	document_links_attr_follow_count	document_links_attr_nofollow_count	document_website_links_attr_follow_count	document_website_links_attr_nofollow_count	document_link_distribution_range_1	document_link_distribution_range_2	document_link_distribution_range_3	document_link_distribution_range_4	document_link_distribution_range_5	document_website_link_distribution_range_1	document_website_link_distribution_range_2	document_website_link_distribution_range_3	document_website_link_distribution_range_4	document_website_link_distribution_range_5	document_external_link_distribution_range_1	document_external_link_distribution_range_2	document_external_link_distribution_range_3	document_external_link_distribution_range_4	document_external_link_distribution_range_5	document_performance_total_time	document_performance_speed_download	document_security_google_safe_browsing
jazzpl.w.interia.pl	http://jazzpl.w.interia.pl/	200	NULL	NULL	NULL	2001-04-28 15:41:10.0000	77.2076	3.1923	1.0000	1.0000	48854	2187	4.4766	6	0	0	237	237	0	1	0	20	57	48	61	50	NULL	NULL	NULL	NULL	1	19	57	47	58	49	0.3187	153287	0
jgregm.blogspot.com	http://jgregm.blogspot.com/	200	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	59500	11284	18.9647	42	0	0	104	91	13	2	0	2	17	24	29	22	NULL	NULL	2	NULL	NULL	NULL	4	11	10	11	0.4821	123408	0
jkalinka.pl	http://jkalinka.pl/pracownia/ginekologia-strony.html	200	NULL	NULL	NULL	2006-11-13 15:47:08.0000	20.1546	4.8364	150.0000	58.0000	19032	2568	13.4931	97	170	56	33	30	3	1	0	NULL	9	3	13	7	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	8	4	0.3681	51700	0
joemonster.org	http://joemonster.org/phorum/read.php?f=15&t=1817293	200	NULL	NULL	NULL	2001-04-12 10:01:34.0000	57.5547	6.3598	75315.0000	62558.0000	107283	12372	11.5321	32	211	179	368	364	4	1	1	87	100	46	41	58	NULL	NULL	NULL	2	NULL	2	3	4	9	10	0.4863	220623	0
jurajskisenior.blogspot.com	http://jurajskisenior.blogspot.com/2014_06_01_archive.html	200	NULL	NULL	NULL	NULL	92.4711	0.0000	0.0000	0.0000	107993	5340	4.9448	51	0	0	177	171	6	1	0	1	35	41	41	49	NULL	1	NULL	NULL	NULL	NULL	31	33	30	6	0.4389	246040	0
justmagic.com	http://justmagic.com/Links.html	200	NULL	NULL	NULL	1999-04-27 05:44:28.0000	30.5251	3.0347	22.0000	5.0000	115852	27667	23.8813	15	18	383	1509	1509	0	1	0	290	315	311	311	282	NULL	NULL	1	NULL	NULL	289	315	310	311	280	0.0655	1768111	0
ka100r.republika.pl	http://ka100r.republika.pl/index1.htm	200	NULL	NULL	NULL	2003-04-16 10:18:07.0000	66.0728	0.0000	0.0000	0.0000	19880	20	0.1006	25	123	43	7	7	0	3	0	NULL	3	NULL	3	1	NULL	NULL	NULL	3	NULL	NULL	NULL	NULL	3	1	0.4580	43405	0
kamilsamselski.pl	http://kamilsamselski.pl/pozycjonowac-strony-2014-poznaj-6-porad-przygotowanych-specjalistow-seo/	200	NULL	NULL	NULL	2014-06-25 03:59:17.0000	36.3422	5.1750	2341.0000	883.0000	83898	33383	39.7900	92	0	0	43	24	19	1	0	8	4	7	11	13	NULL	1	NULL	NULL	NULL	2	4	5	11	NULL	1.4053	59701	0
kamski.pl	http://kamski.pl/blog/adres-strony-z-www-czy-bez-i-dlaczego-to-takie-wazne/	200	NULL	NULL	NULL	2014-05-17 17:17:43.0000	8.5997	3.4210	3.0000	1.0000	15478	1628	10.5182	78	143	38	34	27	7	1	0	1	3	11	6	12	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	3	7	3.1763	4873	0
kamski.pl	http://kamski.pl/blog/newsletter/	200	NULL	NULL	NULL	2014-05-17 17:17:43.0000	8.5997	3.4210	3.0000	1.0000	9771	754	7.7167	34	0	0	20	20	0	1	0	2	2	NULL	9	6	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	5	1.8052	5412	0
kariera.kozminski.edu.pl	http://kariera.kozminski.edu.pl/en/careers/offer/tresc/specjalista-ds-marketingu-internetowego-the-q/	404	NULL	NULL	NULL	2014-05-17 19:23:07.0000	59.1058	5.1015	945.0000	522.0000	8234	194	2.3561	69	193	199	2	2	0	0	0	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	0.9574	8600	0
kariera.kozminski.edu.pl	http://kariera.kozminski.edu.pl/en/careers/offer/tresc/specjalista-ds-obslugi-klienta-master-jedi/	404	NULL	NULL	NULL	2014-05-17 19:23:07.0000	59.1058	5.1015	945.0000	522.0000	8234	194	2.3561	69	193	199	2	2	0	0	0	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	2.1441	3840	0
kashuwmiescie.blogspot.com	http://kashuwmiescie.blogspot.com/2014_02_01_archive.html	200	NULL	NULL	NULL	NULL	92.4711	0.0000	1.0000	0.0000	92616	7526	8.1260	27	0	0	76	66	10	4	0	1	20	1	39	8	NULL	4	NULL	NULL	NULL	NULL	13	NULL	13	5	0.4681	197855	0
kashuwmiescie.blogspot.com	http://kashuwmiescie.blogspot.com/2014/02/radiolog-dzieciecy-w-odzi.html	200	NULL	NULL	NULL	NULL	92.4711	0.0000	1.0000	0.0000	78742	3719	4.7230	46	0	0	73	62	11	4	0	1	5	18	33	7	NULL	4	NULL	NULL	NULL	NULL	5	9	4	4	0.3947	199503	0
kassiiaz.wordpress.com	http://kassiiaz.wordpress.com/	200	NULL	NULL	NULL	NULL	99.9525	0.0000	0.0000	0.0000	37753	1870	4.9532	125	105	0	71	59	12	1	0	8	44	11	5	NULL	NULL	NULL	1	NULL	NULL	NULL	1	7	2	NULL	1.2004	31451	0
kaszuby.iid.pl	http://kaszuby.iid.pl/ang.php	200	NULL	NULL	NULL	2008-01-27 15:27:57.0000	11.3717	0.0000	0.0000	0.0000	5131	1650	32.1575	24	0	0	9	9	0	1	0	4	2	3	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	NULL	0.2498	20537	0
kaszuby.iid.pl	http://kaszuby.iid.pl/pol.php?section=lokalizacja	200	NULL	NULL	NULL	2008-01-27 15:27:57.0000	11.3717	0.0000	0.0000	0.0000	4034	411	10.1884	28	0	0	9	9	0	1	0	2	2	3	2	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	0.0775	52034	0
katalog.gazeta.pl	http://katalog.gazeta.pl/firmy,wedlug,branz/dekoracje,scian,s,47097/	200	NULL	NULL	NULL	2009-12-05 10:46:43.0000	84.9176	5.6484	40017.0000	21577.0000	24436	7622	31.1917	52	186	93	66	66	0	2	0	17	19	12	10	6	NULL	2	NULL	NULL	NULL	9	6	NULL	NULL	NULL	1.1436	21368	0
katalog.kolo.devilhost.pl	http://katalog.kolo.devilhost.pl/1800/gry-mmoprg.html	200	NULL	NULL	NULL	NULL	26.9678	3.6038	152.0000	2.0000	8484	2949	34.7595	10	266	100	52	51	1	1	0	6	9	6	15	16	1	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	0.5512	15392	0
katalog.noclegi.biz.pl	http://katalog.noclegi.biz.pl/Komputery-4-0.html	200	NULL	NULL	NULL	2007-02-02 03:27:14.0000	35.9221	0.0000	0.0000	0.0000	7508	1162	15.4768	28	69	44	66	66	0	1	0	1	20	16	17	12	NULL	1	NULL	NULL	NULL	NULL	7	NULL	NULL	1	1.1910	6303	0
katalog.onet.pl	http://katalog.onet.pl/11399,42113,4,galanteria-skorzana-torebki,r.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	39180	4925	12.5702	59	104	77	52	51	1	2	0	10	NULL	2	20	20	NULL	NULL	NULL	2	NULL	1	NULL	2	20	6	0.4479	87470	0
katalog.onet.pl	http://katalog.onet.pl/12190,0,2,oferty-all-inclusive,k.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	38803	5054	13.0248	38	83	63	52	51	1	2	0	10	NULL	NULL	22	20	NULL	NULL	NULL	2	NULL	2	NULL	NULL	22	12	0.5298	73244	0
katalog.onet.pl	http://katalog.onet.pl/2788,0,20,odziez,k.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	40917	4943	12.0806	25	70	35	66	65	1	0	0	7	11	NULL	18	30	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	18	11	0.3353	122033	0
katalog.onet.pl	http://katalog.onet.pl/2816,sluzba-zdrowia,k.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	46294	5711	12.3364	34	79	24	72	71	1	2	0	10	22	NULL	12	28	NULL	2	NULL	NULL	NULL	1	9	NULL	12	14	0.2240	206701	0
katalog.onet.pl	http://katalog.onet.pl/2829,0,10,medycyna,k.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	27217	2018	7.4145	26	71	16	86	85	1	2	0	5	16	35	11	19	NULL	NULL	NULL	2	NULL	1	NULL	NULL	4	6	0.4043	67326	0
katalog.onet.pl	http://katalog.onet.pl/3257,43645,10,slupsk-powiat-biura-podrozy,r.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	42475	4881	11.4915	50	95	59	62	61	1	2	0	9	6	NULL	24	23	NULL	NULL	NULL	2	NULL	1	NULL	NULL	21	6	3.5367	12009	0
katalog.onet.pl	http://katalog.onet.pl/3257,69862,krapkowice-biura-podrozy,r.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	44099	4823	10.9368	44	89	53	64	63	1	2	0	9	1	5	29	20	NULL	NULL	NULL	2	NULL	1	NULL	5	24	7	0.4677	94281	0
katalog.onet.pl	http://katalog.onet.pl/3432,0,11,oferty-last-minute,k.html	200	NULL	NULL	NULL	2000-03-01 05:17:12.0000	88.3151	6.0086	15093.0000	14366.0000	36664	4654	12.6937	36	81	61	48	47	1	2	0	10	NULL	NULL	16	22	NULL	NULL	NULL	2	NULL	2	NULL	NULL	16	9	0.4745	77263	0
katalog.rgh.pl	http://katalog.rgh.pl/www2plnet/gry,przegl%C3%84%C2%85darkowe-info-36383.html	200	NULL	NULL	NULL	2006-08-31 20:25:48.0000	35.0005	3.8880	255.0000	36.0000	8460	613	7.2459	21	21	85	41	40	1	3	0	NULL	9	17	7	7	NULL	NULL	NULL	3	NULL	NULL	4	5	3	NULL	0.1524	55516	0
katalog.start24.pl	http://katalog.start24.pl/	200	NULL	NULL	NULL	2009-03-29 08:17:20.0000	35.6449	0.0000	0.0000	0.0000	27619	3087	11.1771	111	118	255	193	193	0	1	0	11	44	53	57	28	NULL	NULL	NULL	1	NULL	10	40	47	51	21	0.1449	190670	0
katalog.top-rank.pl	http://katalog.top-rank.pl/telekomunikacja/forum_optymalizacja_i_pozycjonowanie_stron/s593.html	200	NULL	NULL	NULL	2010-04-25 06:26:33.0000	NULL	NULL	NULL	NULL	25033	4475	17.8764	103	257	54	45	30	15	1	0	5	16	5	3	4	NULL	1	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	1.3442	18622	0
katalog.wp.pl	http://katalog.wp.pl/biura-podrozy-i-agencje-turystyczne/	200	NULL	NULL	NULL	1998-12-02 03:00:45.0000	84.3745	5.8260	11492.0000	3288.0000	43469	8870	20.4053	51	26	8	150	128	22	1	1	10	9	39	36	54	NULL	NULL	2	NULL	NULL	7	NULL	16	16	29	0.5664	76749	0
